21:44:02  |  Platform  |  Info  |  * Initialise: RenderManager  |  D:\Ogre\mygui\mygui-master\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  43
21:44:02  |  Platform  |  Info  |  RenderManager successfully initialized  |  D:\Ogre\mygui\mygui-master\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreRenderManager.cpp  |  71
21:44:02  |  Platform  |  Info  |  * Initialise: DataManager  |  D:\Ogre\mygui\mygui-master\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  27
21:44:02  |  Platform  |  Info  |  DataManager successfully initialized  |  D:\Ogre\mygui\mygui-master\Platforms\Ogre\OgrePlatform\src\MyGUI_OgreDataManager.cpp  |  35
21:44:02  |  Core  |  Info  |  * Initialise: Gui  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_Gui.cpp  |  61
21:44:02  |  Core  |  Info  |  * MyGUI version 3.2.2  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_Gui.cpp  |  66
21:44:02  |  Core  |  Info  |  * Initialise: ResourceManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  32
21:44:02  |  Core  |  Info  |  ResourceManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ResourceManager.cpp  |  40
21:44:03  |  Core  |  Info  |  * Initialise: LayerManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  33
21:44:03  |  Core  |  Info  |  LayerManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_LayerManager.cpp  |  41
21:44:03  |  Core  |  Info  |  * Initialise: WidgetManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  53
21:44:03  |  Core  |  Info  |  WidgetManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_WidgetManager.cpp  |  84
21:44:03  |  Core  |  Info  |  * Initialise: InputManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_InputManager.cpp  |  46
21:44:03  |  Core  |  Info  |  InputManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_InputManager.cpp  |  66
21:44:03  |  Core  |  Info  |  * Initialise: SubWidgetManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  36
21:44:03  |  Core  |  Info  |  SubWidgetManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_SubWidgetManager.cpp  |  56
21:44:03  |  Core  |  Info  |  * Initialise: SkinManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  36
21:44:03  |  Core  |  Info  |  SkinManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_SkinManager.cpp  |  46
21:44:03  |  Core  |  Info  |  * Initialise: FontManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_FontManager.cpp  |  32
21:44:03  |  Core  |  Info  |  FontManager successfully initialized  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_FontManager.cpp  |  42
21:44:03  |  Core  |  Info  |  * Initialise: ControllerManager  |  D:\Ogre\mygui\mygui-master\MyGUIEngine\src\MyGUI_ControllerManager.cpp  |  33
